ADBE	2003-01-02	2099-12-31
AMD	2018-12-24	2099-12-31
ABNB	2021-12-20	2099-12-31
GOOGL	2014-04-03	2099-12-31
GOOG	2005-12-19	2099-12-31
AMZN	2003-01-02	2099-12-31
AEP	2020-12-21	2099-12-31
AMGN	2003-01-02	2099-12-31
ADI	2012-12-24	2099-12-31
ANSS	2019-12-23	2099-12-31
AAPL	2003-01-02	2099-12-31
AMAT	2003-01-02	2099-12-31
APP	2024-11-18	2099-12-31
ARM	2024-06-24	2099-12-31
ASML	2017-12-18	2099-12-31
AZN	2022-02-22	2099-12-31
TEAM	2020-12-21	2099-12-31
ADSK	2004-12-20	2099-12-31
ADP	2008-12-22	2099-12-31
AXON	2024-12-23	2099-12-31
BKR	2022-12-19	2099-12-31
BIIB	2003-11-13	2099-12-31
BKNG	2018-02-27	2099-12-31
AVGO	2011-12-19	2099-12-31
CDNS	2017-12-18	2099-12-31
CDW	2023-12-18	2099-12-31
CHTR	2013-07-25	2099-12-31
CTAS	2016-12-19	2099-12-31
CSCO	2003-01-02	2099-12-31
CCEP	2023-12-18	2099-12-31
CTSH	2004-12-29	2099-12-31
CMCSA	2003-01-02	2099-12-31
CEG	2022-02-02	2099-12-31
CPRT	2019-12-23	2099-12-31
CSGP	2022-12-19	2099-12-31
COST	2003-01-02	2099-12-31
CRWD	2021-08-26	2099-12-31
CSX	2016-02-22	2099-12-31
DDOG	2021-12-20	2099-12-31
DXCM	2020-04-20	2099-12-31
FANG	2022-12-19	2099-12-31
DASH	2023-12-18	2099-12-31
EA	2014-12-22	2099-12-31
EXC	2019-11-21	2099-12-31
FAST	2003-01-02	2099-12-31
FTNT	2021-12-20	2099-12-31
GEHC	2023-06-07	2099-12-31
GILD	2003-01-02	2099-12-31
GFS	2022-12-19	2099-12-31
HON	2021-07-21	2099-12-31
IDXX	2017-03-20	2099-12-31
INTC	2003-01-02	2099-12-31
INTU	2003-01-02	2099-12-31
ISRG	2006-02-01	2099-12-31
KDP	2020-10-19	2099-12-31
KLAC	2016-12-19	2099-12-31
KHC	2015-07-06	2099-12-31
LRCX	2014-12-22	2099-12-31
LIN	2024-03-18	2099-12-31
LULU	2018-12-24	2099-12-31
MAR	2013-11-18	2099-12-31
MRVL	2020-12-21	2099-12-31
MELI	2017-06-19	2099-12-31
META	2022-06-09	2099-12-31
MCHP	2016-07-18	2099-12-31
MU	2010-12-20	2099-12-31
MSFT	2003-01-02	2099-12-31
MSTR	2024-12-23	2099-12-31
MDLZ	2012-10-02	2099-12-31
MNST	2012-01-09	2099-12-31
NFLX	2013-06-06	2099-12-31
NVDA	2005-12-19	2099-12-31
NXPI	2018-11-05	2099-12-31
ORLY	2008-12-22	2099-12-31
ODFL	2022-01-24	2099-12-31
ON	2023-06-20	2099-12-31
PCAR	2003-01-02	2099-12-31
PLTR	2024-12-23	2099-12-31
PANW	2021-12-20	2099-12-31
PAYX	2003-01-02	2099-12-31
PYPL	2015-11-11	2099-12-31
PDD	2020-08-24	2099-12-31
PEP	2018-07-23	2099-12-31
QCOM	2003-01-02	2099-12-31
REGN	2012-12-24	2099-12-31
ROP	2023-12-18	2099-12-31
ROST	2008-12-22	2099-12-31
SHOP	2025-05-19	2099-12-31
SBUX	2003-01-02	2099-12-31
SNPS	2017-12-18	2099-12-31
TTWO	2023-12-18	2099-12-31
TMUS	2015-12-21	2099-12-31
TSLA	2013-07-15	2099-12-31
TXN	2012-04-23	2099-12-31
TTD	2023-07-17	2099-12-31
VRSK	2012-12-24	2099-12-31
VRTX	2006-12-18	2099-12-31
WBD	2022-12-19	2099-12-31
WDAY	2017-12-18	2099-12-31
XEL	2018-11-19	2099-12-31
ZS	2021-12-20	2099-12-31
MDB	2023-12-18	2025-05-16
ILMN	2013-12-23	2024-12-20
SMCI	2024-07-22	2024-12-20
MRNA	2020-07-20	2024-12-20
DLTR	2010-12-20	2024-11-15
WBA	2015-03-23	2024-07-19
GRAL	2024-06-25	2024-07-05
SIRI	2011-07-15	2024-06-21
SPLK	2023-12-18	2024-03-15
EBAY	2003-01-02	2023-12-15
ZM	2020-04-30	2023-12-15
ENPH	2022-11-21	2023-12-15
LCID	2021-12-20	2023-12-15
JD	2015-07-29	2023-12-15
$SGEN$	2023-12-15	2023-12-15
ALGN	2017-10-23	2023-12-15
SGEN	2019-12-23	2023-12-14
ATVI	2008-08-07	2023-07-14
RIVN	2022-12-19	2023-06-16
FISV	2003-01-02	2023-06-06
VRSN	2018-12-24	2022-12-16
SPLK	2019-12-23	2022-12-16
SWKS	2015-08-03	2022-12-16
MTCH	2020-12-21	2022-12-16
NTES	2016-03-16	2022-12-16
DOCU	2020-06-22	2022-12-16
BIDU	2007-12-04	2022-12-16
OKTA	2020-12-21	2022-11-18
FB	2012-12-12	2022-06-08
XLNX	2003-01-02	2022-02-11
PTON	2020-12-21	2022-01-21
FOXA	2013-07-01	2021-12-17
CDW	2019-12-23	2021-12-17
CHKP	2003-01-02	2021-12-17
INCY	2015-10-07	2021-12-17
TCOM	2019-11-05	2021-12-17
FOX	2014-12-22	2021-12-17
CERN	2009-07-17	2021-12-17
MXIM	2015-12-21	2021-08-25
ALXN	2011-04-04	2021-07-20
LBTYA	2012-12-24	2020-12-18
LBTYK	2014-12-22	2020-12-18
TTWO	2017-12-18	2020-12-18
CTXS	2003-01-02	2020-12-18
ULTA	2015-12-21	2020-12-18
EXPE	2015-12-21	2020-12-18
BMRN	2015-07-27	2020-12-18
WDC	2012-12-24	2020-10-16
NTAP	2018-12-24	2020-08-21
CSGP	2019-12-23	2020-07-17
UAL	2018-12-24	2020-06-19
