序号,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,总市值,市盈率,成交量,成交额,振幅,换手率,代码
1,DURECT Corp,1.88,1.327,240.15,1.99,2.64,1.86,0.553,58360052.0,-11.88,50403101.0,100406599.0,141.13,162.37,105.DRRX
2,ScanTech AI Systems Inc,1.19,0.521,77.88,0.967,1.54,0.92,0.669,57432149.0,32.79,319087536.0,385573808.0,92.68,661.15,105.STAI
3,Spring Valley Acquisition Corp ,0.246,0.086,53.75,0.155,0.27,0.155,0.16,,,95191.0,18782.0,71.5,,105.SVIIW
4,Clene Inc Wt,0.044,0.014,46.67,0.034,0.044,0.03,0.03,,,1670.0,58.0,45.33,,105.CLNNW
5,新蛋,56.19,17.11,43.78,40.05,56.77,40.05,39.08,1089883716.0,-25.15,2704354.0,133898281.0,42.78,13.94,105.NEGG
6,Safe and Green Development Corp,1.26,0.38,43.18,1.07,1.63,1.05,0.88,2635605.0,-0.33,85284796.0,119367291.0,65.91,4077.2,105.SGD
7,Rich Sparkle Holdings Ltd,37.21,11.2,43.06,25.64,38.767,25.64,26.01,465125000.0,566.95,359881.0,12312286.0,50.47,2.88,105.ANPA
8,尚高生命科学,0.219,0.065,42.07,0.176,0.27,0.176,0.154,9839215.0,-0.25,182000973.0,41241815.0,61.25,404.17,105.SISI
9,Super X AI Technology Ltd,16.12,4.76,41.9,11.47,16.75,11.47,11.36,357378046.0,-53.07,764192.0,11386880.0,46.48,3.45,105.SUPX
10,GIBO Holdings Ltd-A,0.095,0.028,41.37,0.082,0.104,0.068,0.067,68909959.0,57.36,703062384.0,62152856.0,54.17,96.92,105.GIBO
11,HWH International Inc,1.96,0.52,36.11,1.48,3.16,1.39,1.44,12693744.0,-6.98,60648055.0,148240337.0,122.91,936.45,105.HWH
12,GeneDx Holdings Corp Wt,0.077,0.02,34.97,0.07,0.09,0.062,0.057,,,285440.0,22365.0,48.25,,105.WGSWW
13,Salarius Pharmaceuticals Inc,1.0,0.259,34.88,1.56,2.31,0.97,0.741,2126435.0,-0.38,101738873.0,191125597.0,180.81,4782.57,105.SLRX
