2025-07-30 10:26:33 | nasdaq_fetcher | INFO     | _setup_handlers:81 | 🚀 日志系统启动 - 主日志: nasdaq_20250730_102633.log, 失败日志: nasdaq_failures_20250730_102633.log
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | fetch_list_stocks:222 | 🚀 开始获取股票列表数据: 3 只股票
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | fetch_list_stocks:241 | 🧹 清理后股票列表: 3 只（跳过 0 只退市股票）
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | fetch_list_stocks:263 | 📊 进度 1/3: 正在获取 ANSS
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | stock_start:94 | 🔄 开始获取 ANSS 历史数据 (从 2015-01-01)
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 将请求 11 Y 的数据后进行筛选
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | get_stock_data:109 | 正在连接到IBKR TWS...
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2104: 市场数据场连接正常:usfarm.nj
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2104: 市场数据场连接正常:hfarm
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2104: 市场数据场连接正常:usfuture
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2104: 市场数据场连接正常:cashfarm
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2104: 市场数据场连接正常:usfarm
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2106: 历史市场数据场连接正常:euhmds
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2106: 历史市场数据场连接正常:apachmds
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2106: 历史市场数据场连接正常:fundfarm
2025-07-30 10:26:42 | nasdaq_fetcher | INFO     | system_info:145 | 🔧 IBKR连接信息 2106: 历史市场数据场连接正常:ushmds
